1.	Щебень	08.12.12.140	80
2.	Марля медицинская	13.20.44.120	90
3.	Ткани из стекловолокна (включая узкие ткани)	13.20.46	90
4.	Канаты, веревки, шпагат и сети, кроме отходов	13.94.1	90
5.	Материалы нетканые из текстильных волокон	13.95.10.111	90
6.	Материалы нетканые из химических нитей	13.95.10.112	90
7.	Ткани узкие; ткани узкие с основой без утка с клеевым соединением (клеящие ленты); материалы для отделки и аналогичные изделия, за исключением товара, предусмотренного позицией 8 настоящего приложения	13.96.17	90
8.	Тесьма плетеная и шнуры	13.96.17.131	90
9.	Одежда из текстильных материалов с пропиткой или покрытием	14.19.32.130	90
10.	Кожа дубленая и выделанная; меха выделанные и окрашенные	15.11	90
11.	Обувь водонепроницаемая на подошве и с верхом из резины или пластмассы, кроме обуви с защитным металлическим подноском	15.20.11	90
12.	Обувь с верхом из кожи, кроме спортивной обуви, обуви с защитным металлическим подноском и различной специальной обуви	15.20.13	90
13.	Бумага и картон	17.12	90
14.	Фотопластинки и фотопленки светочувствительные, неэкспонированные	20.59.11.110	80
15.	Катализаторы, не включенные в другие группировки	20.59.56.150	50
16.	Перчатки хирургические резиновые	22.19.60.111	20
17.	Перчатки резиновые технические	22.19.60.112	20
18.	Перчатки хирургические из каучукового латекса стерильные одноразовые	22.19.60.113	20
19.	Перчатки резиновые прочие	22.19.60.119	20
20.	Жернова, точильные камни, шлифовальные круги и аналогичные изделия без каркаса, для обработки камней, и их части, из природного камня, агломерированных природных или искусственных абразивов или керамики	23.91.11	80
21.	Котлы водогрейные центрального отопления для производства горячей воды или пара низкого давления	25.21.12	80
22.	Резервуары, цистерны, баки и аналогичные емкости (кроме емкостей для сжатых или сжиженных газов) из чугуна, стали или алюминия, вместимостью более 300 л, без механического или теплотехнического оборудования	25.29.11	90
23.	Емкости металлические для сжатых или сжиженных газов	25.29.12	90
24.	Оружие спортивное огнестрельное с нарезным стволом	25.40.12.410	90
25.	Патроны и боеприпасы прочие и их детали	25.40.13.190	90
26.	Инструмент ручной прочий	25.73.30	70
27.	Инструменты рабочие сменные для станков или для ручного инструмента (с механическим приводом или без него)	25.73.40	70
28.	Инструмент прочий	25.73.60	70
29.	Винты гребные судовые, колеса гребные	25.99.26.000	90
30.	Компоненты электронные, за исключением товаров, предусмотренных позициями 31 - 34 настоящего приложения	26.11	90
31.	Приборы полупроводниковые и их части	26.11.22.100	90
32.	Элементы фотогальванические	26.11.22.120	60
33.	Светодиоды, светодиодные модули и их части	26.11.22.200	90
34.	Схемы интегральные электронные	26.11.30	90
35.	Платы печатные смонтированные, за исключением плат звуковых, видеоплат, сетевых и аналогичных плат для машин автоматической обработки информации, относящихся к коду 26.12.20 по Общероссийскому классификатору продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008)	26.12	90
36.	Платы звуковые, видеоплаты, сетевые и аналогичные платы для машин автоматической обработки информации	26.12.20	15
37.	Компьютеры портативные массой не более 10 кг, такие как ноутбуки, планшетные компьютеры, карманные компьютеры, в том числе совмещающие функции мобильного телефонного аппарата, электронные записные книжки и аналогичная компьютерная техника	26.20.11	80
38.	Терминалы кассовые, подключаемые к компьютеру или сети передачи данных	26.20.12.110	50
39.	Банкоматы и аналогичное оборудование, подключаемое к компьютеру или сети передачи данных	26.20.12.120	5
40.	Машины вычислительные электронные цифровые, содержащие в одном корпусе центральный процессор и устройство ввода и вывода, объединенные или нет для автоматической обработки данных	26.20.13	70
41.	Машины вычислительные электронные цифровые, поставляемые в виде систем для автоматической обработки данных	26.20.14	70
42.	Машины вычислительные электронные цифровые прочие, содержащие или не содержащие в одном корпусе одно или два из следующих устройств для автоматической обработки данных: запоминающие устройства, устройства ввода, устройства вывода	26.20.15	70
43.	Устройства ввода или вывода, содержащие или не содержащие в одном корпусе запоминающие устройства	26.20.16	30
44.	Мониторы и проекторы, преимущественно используемые в системах автоматической обработки данных	26.20.17	50
45.	Устройства запоминающие и прочие устройства хранения данных	26.20.2	50
46.	Устройства автоматической обработки данных прочие	26.20.3	70
47.	Блоки, части и принадлежности вычислительных машин	26.20.40	55
48.	Аппаратура коммуникационная передающая с приемными устройствами, за исключением товаров, предусмотренных позициями 49 - 54 настоящего приложения	26.30.11	70
49.	Средства связи, выполняющие функцию систем коммутации	26.30.11.110	49
50.	Средства связи, выполняющие функцию цифровых транспортных систем	26.30.11.120	49
51.	Средства связи, выполняющие функцию систем управления и мониторинга	26.30.11.130	49
52.	Средства связи радиоэлектронные	26.30.11.150	90
53.	Средства связи, в том числе программное обеспечение, обеспечивающее выполнение установленных действий при проведении оперативно-розыскных мероприятий	26.30.11.160	62
54.	Аппаратура коммуникационная передающая с приемными устройствами прочая, не включенная в другие группировки	26.30.11.190	73
55.	Аппаратура коммуникационная передающая без приемных устройств	26.30.12	90
56.	Камеры телевизионные	26.30.13	18
57.	Аппараты телефонные для сотовых сетей связи или для прочих беспроводных сетей	26.30.22	5
58.	Аппараты телефонные прочие, устройства и аппаратура для передачи и приема речи, изображений или других данных, включая оборудование коммуникационное для работы в проводных или беспроводных сетях связи (например, локальных и глобальных сетях)	26.30.23	60
59.	Части и комплектующие коммуникационного оборудования	26.30.3	40
60.	Антенны и антенные отражатели всех видов и их части; части передающей радио- и телевизионной аппаратуры и телевизионных камер	26.30.4	21
61.	Устройства охранной или пожарной сигнализации и аналогичная аппаратура	26.30.5	95
62.	Части устройств охранной или пожарной сигнализации и аналогичной аппаратуры	26.30.6	8
63.	Техника бытовая электронная, за исключением товаров, предусмотренных позициями 64 - 71 настоящего приложения	26.4090
64.	Приемники телевизионные (телевизоры) цветного изображения с жидкокристаллическим экраном, плазменной панелью	26.40.20.122	80
65.	Аппаратура для воспроизведения звука прочая	26.40.31.190	70
66.	Видеокамеры	26.40.33.110	70
67.	Аппаратура записи и воспроизведения изображения прочая	26.40.33.190	70
68.	Микрофоны и подставки для них	26.40.41.000	70
69.	Громкоговорители	26.40.42.110	70
70.	Усилители электрические звуковых частот; установки электрических усилителей звука	26.40.43	70
71.	Части и принадлежности звукового и видеооборудования	26.40.51.000	70
72.	Аппаратура радиолокационная, радионавигационная и радиоаппаратура дистанционного управления	26.51.2	90
73.	Приборы для измерения электрических величин или ионизирующих излучений	26.51.4	90
74.	Приборы для контроля прочих физических величин	26.51.5	90
75.	Инструменты и приборы прочие для измерения, контроля и испытаний, за исключением товаров, предусмотренных позицией 76 настоящего приложения	26.51.6	90
76.	Счетчики производства или потребления электроэнергии	26.51.63.130	95
77.	Приборы автоматические регулирующие и контрольно-измерительные прочие	26.51.70.190	70
78.	Оборудование для облучения, электрическое диагностическое и терапевтическое, применяемые в медицинских целях, за исключением товаров, предусмотренных позициями 79 - 87 настоящего приложения	26.60	10
79.	Томографы компьютерные	26.60.11.111	30
80.	Аппараты рентгеноскопические (флуороскопические)	26.60.11.112	75
81.	Аппараты рентгенографические	26.60.11.113	75
82.	Аппараты, основанные на использовании альфа-, бета- или гамма-излучений, применяемые в медицинских целях, включая хирургию, стоматологию, ветеринарию, прочие	26.60.11.129	45
83.	Электрокардиографы	26.60.12.111	60
84.	Аппараты электродиагностические прочие	26.60.12.119	50
85.	Приборы и аппараты для функциональной диагностики прочие, применяемые в медицинских целях, не включенные в другие группировки	26.60.12.129	50
86.	Аппараты ультразвукового сканирования	26.60.12.132	80
87.	Оборудование для электротерапии прочее, не включенное в другие группировки	26.60.13.190	70
88.	Приборы оптические и фотографическое оборудование	26.70	70
89.	Носители данных магнитные и оптические	26.80	45
90.	Трансформаторы электрические	27.11.4	80
91.	Электродвигатели мощностью не более 37,5 Вт; электродвигатели постоянного тока прочие; генераторы постоянного тока	27.11.1	70
92.	Электродвигатели переменного и постоянного тока универсальные мощностью более 37,5 Вт; электродвигатели переменного тока прочие; генераторы (синхронные генераторы) переменного тока	27.11.2	70
93.	Установки генераторные электрические и вращающиеся преобразователи	27.11.3	70
94.	Устройства для коммутации или защиты электрических цепей на напряжение более 1 кВ	27.12.1	70
95.	Устройства коммутации или защиты электрических цепей на напряжение не более 1 кВ	27.12.2	80
96.	Панели и прочие комплекты электрической аппаратуры коммутации или защиты на напряжение не более 1 кВ	27.12.31	80
97.	Панели и прочие комплекты электрической аппаратуры коммутации или защиты на напряжение более 1 кВ	27.12.32	80
98.	Аккумуляторы свинцовые для запуска поршневых двигателей	27.20.21.000	90
99.	Аккумуляторы свинцовые, кроме используемых для запуска поршневых двигателей	27.20.22.000	60
100.	Батареи аккумуляторные литий-ионные	27.20.23.130	60
101.	Кабели волоконно-оптические, состоящие из волокон с индивидуальными оболочками	27.31.11	90
102.	Кабели волоконно-оптические, кроме составленных из волокон с индивидуальными оболочками	27.31.12.120	90
103.	Провода и кабели электронные и электрические прочие	27.32	80
104.	Оборудование электрическое осветительное, за исключением товаров, предусмотренных позицией 105 настоящего приложения	27.40	90
105.	Светильники и устройства осветительные прочие, не включенные в другие группировки	27.40.39	90
106.	Машины стиральные бытовые и машины для сушки одежды	27.51.13	90
107.	Печи прочие; варочные котлы, кухонные плиты, варочные панели; грили, жаровни	27.51.28	90
108.	Оборудование электрическое прочее, за исключением товаров, предусмотренных позициями 109 и 110 настоящего приложения	27.90	87
109.	Машины и оборудование электрические для пайки мягким и твердым припоем и сварки	27.90.31.110	70
