1.	Ткани текстильные	13.2
2.	Изделия текстильные прочие	13.9
3.	Одежда, кроме одежды из меха	14.1
4.	Изделия меховые	14.20
5.	Предметы одежды трикотажные и вязаные	14.3
6.	Кожа дубленая и выделанная; чемоданы, сумки дамские, изделия шорно-седельные и упряжь; меха выделанные и окрашенные	15.1
7.	Обувь	15.2
8.	Плиты древесно-стружечные и аналогичные плиты из древесины или других одревесневших материалов	16.21.13
9.	Плиты древесно-волокнистые из древесины или других одревесневших материалов	16.21.14
10.	Бумага и картон	17.12
11.	Материалы лакокрасочные и аналогичные для нанесения покрытий, полиграфические краски и мастики	20.30
12.	Клеи	20.52
13.	Фотопластинки и фотопленки; фотопленки для моментальных фотоснимков; составы химические и продукты несмешанные, используемые в фотографии	20.59.1
14.	Шины, покрышки и камеры резиновые новые	22.11.1
15.	Изделия из вулканизированной резины прочие, не включенные в другие группировки (только в отношении резиновых частей обуви)	22.19.73
16.	Изделия пластмассовые прочие	22.29.29
17.	Пробирки вакуумные для взятия образцов крови ИВД, соответствующие кодам 293370, 293400, 293420, 293480, 293500, 293540, 293570, 293630, 293640, 293660, 293700, 293760, 293780, 334330 вида медицинского изделия в соответствии с номенклатурной классификацией медицинских изделий, утвержденной Министерством здравоохранения Российской Федерации (далее - номенклатурная классификация)	22.29.29.190, 32.50.13.190, 32.50.50.181, 32.50.50.190
18.	Изоляторы электрические стеклянные	23.19.25
19.	Жернова, точильные камни, шлифовальные круги и аналогичные изделия без каркаса, для обработки камней, и их части, из природного камня, агломерированных природных или искусственных абразивов или керамики	23.91.11
20.	Радиаторы центрального отопления и их секции из прочих металлов	25.21.11.130
21.	Ложки, вилки, половники, шумовки, лопаточки для тортов, ножи для рыбы, ножи для масла, щипцы для сахара и аналогичные кухонные и столовые приборы	25.71.14
22.	Инструмент ручной прочий	25.73.30
23.	Инструменты рабочие сменные для станков или для ручного инструмента (с механическим приводом или без него)	25.73.40
24.	Инструмент прочий	25.73.60
25.	Схемы интегральные электронные	26.11.3
26.	Карты со встроенными интегральными схемами (смарт-карты)	26.12.3
27.	Устройства числового программного управления	26.20.40.150
28.	Счетчики производства или потребления электроэнергии	26.51.63.130
29.	Зарядные станции для электротранспорта	27.11.50.120, 27.90.11.900, 27.90.40.190
30.	Выключатели автоматические на напряжение не более 1 кВ	27.12.22
31.	Аккумуляторы свинцовые для запуска поршневых двигателей	27.20.21
32.	Светильники и осветительные устройства прочие, не включенные в другие группировки, за исключением медицинских изделий	27.40.39
33.	Машины и оборудование электрические для пайки мягким и твердым припоем и сварки	27.90.31.110
34.	Насосы воздушные или вакуумные; воздушные или прочие газовые компрессоры	28.13.2
35.	Подшипники шариковые или роликовые	28.15.10
36.	Электропечи сопротивления	28.21.13.111
37.	Электропечи и камеры промышленные или лабораторные прочие, не включенные в другие группировки	28.21.13.119
38.	Тали электрические канатные	28.22.11.112
39.	Подъемники, не включенные в другие группировки	28.22.11.190
40.	Краны мостовые электрические	28.22.14.121
41.	Краны козловые и полукозловые электрические	28.22.14.122
42.	Краны грузоподъемные стрелкового типа	28.22.14.125
43.	Краны портальные	28.22.14.140
44.	Краны на гусеничном ходу	28.22.14.151
45.	Машины самоходные и тележки, оснащенные подъемным краном, прочие, не включенные в другие группировки	28.22.14.159
46.	Автопогрузчики с вилочным захватом	28.22.15.110
47.	Погрузчики прочие	28.22.15.120
48.	Лифты пассажирские	28.22.16.111
49.	Конвейеры ленточные	28.22.17.111
50.	Склады - накопители механизированные	28.22.18.261
51.	Машины подъемные для механизации складов прочие, не включенные в другие группировки	28.22.18.269
